epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,2767.02,0.8809,0.48203,0.9561,0.85233,0.75436,0.7782,0.50351,1.11481,0.60744,1.06984,0.000481144,0.000481144,0.000481144
69,2808.1,0.8796,0.48031,0.96591,0.81965,0.76129,0.77348,0.50882,1.10611,0.59081,1.06131,0.000466997,0.000466997,0.000466997
70,2848.28,0.86805,0.47886,0.95604,0.88993,0.7523,0.79376,0.51086,1.13416,0.58241,1.0785,0.00045285,0.00045285,0.00045285
71,2888.02,0.86197,0.46841,0.95396,0.83147,0.75115,0.77357,0.50485,1.14393,0.59361,1.08018,0.000438703,0.000438703,0.000438703
72,2927.8,0.86012,0.4664,0.95183,0.82821,0.74729,0.77829,0.50903,1.1339,0.6166,1.07497,0.000424556,0.000424556,0.000424556
73,2968.24,0.87142,0.46864,0.95058,0.88385,0.70514,0.81773,0.53589,1.12194,0.56547,1.06938,0.000410409,0.000410409,0.000410409
74,3009.86,0.84613,0.45933,0.94843,0.75845,0.78825,0.78316,0.52699,1.15031,0.60601,1.08188,0.000396262,0.000396262,0.000396262
75,3050.88,0.86455,0.46873,0.94712,0.87273,0.69982,0.7809,0.52359,1.13546,0.59132,1.0772,0.000382115,0.000382115,0.000382115
76,3089.01,0.83286,0.45392,0.94417,0.78724,0.79526,0.79208,0.5264,1.12785,0.576,1.06875,0.000367967,0.000367967,0.000367967
77,3129.59,0.83771,0.45235,0.9399,0.78958,0.80223,0.78917,0.51555,1.12669,0.5672,1.0655,0.00035382,0.00035382,0.00035382
78,3172.3,0.83942,0.45331,0.93659,0.78681,0.78441,0.75924,0.489,1.13787,0.62965,1.07495,0.000339673,0.000339673,0.000339673
79,3213.28,0.82629,0.44439,0.9456,0.78849,0.77667,0.7744,0.50907,1.13888,0.60696,1.08018,0.000325526,0.000325526,0.000325526
80,3253.09,0.82062,0.44723,0.93919,0.82839,0.75837,0.78767,0.50298,1.13748,0.59147,1.07783,0.000311379,0.000311379,0.000311379
81,3292.78,0.82394,0.44379,0.93253,0.8353,0.76847,0.78506,0.50814,1.1588,0.57244,1.09002,0.000297232,0.000297232,0.000297232
82,3332.8,0.81316,0.43748,0.93423,0.73668,0.79104,0.76558,0.5171,1.13448,0.60177,1.07814,0.000283085,0.000283085,0.000283085
83,3376.02,0.8154,0.43826,0.93374,0.8064,0.79495,0.78562,0.51961,1.14065,0.57795,1.07929,0.000268938,0.000268938,0.000268938
84,3416.03,0.81227,0.43973,0.93236,0.77233,0.79823,0.77858,0.51619,1.12957,0.58504,1.07649,0.000254791,0.000254791,0.000254791
85,3455.86,0.79616,0.42798,0.93018,0.84993,0.70935,0.7686,0.52184,1.132,0.59006,1.08204,0.000240644,0.000240644,0.000240644
86,3495.71,0.79646,0.42802,0.93031,0.83051,0.74482,0.7875,0.52251,1.14828,0.57397,1.08754,0.000226497,0.000226497,0.000226497
87,3536.93,0.79716,0.43006,0.93102,0.81247,0.76181,0.77468,0.51242,1.1291,0.56741,1.08529,0.000212349,0.000212349,0.000212349
88,3578.45,0.79906,0.43113,0.92335,0.78883,0.77764,0.78405,0.52558,1.13207,0.56453,1.07868,0.000198202,0.000198202,0.000198202
89,3618.38,0.78616,0.42755,0.93145,0.8251,0.76271,0.79183,0.53555,1.13117,0.58505,1.08402,0.000184055,0.000184055,0.000184055
90,3658.47,0.78079,0.42097,0.92157,0.84141,0.75551,0.7779,0.51658,1.13283,0.57741,1.08355,0.000169908,0.000169908,0.000169908
91,3700.27,0.76523,0.37932,0.91638,0.80731,0.75483,0.78022,0.51785,1.13993,0.57702,1.08923,0.000155761,0.000155761,0.000155761
92,3739.93,0.7443,0.37031,0.90512,0.78206,0.75655,0.76842,0.51919,1.11404,0.57657,1.07907,0.000141614,0.000141614,0.000141614
93,3779.4,0.72947,0.36135,0.89683,0.80464,0.7526,0.77982,0.52412,1.12268,0.58299,1.07802,0.000127467,0.000127467,0.000127467
94,3820.6,0.73072,0.36158,0.89998,0.82198,0.74988,0.79073,0.5283,1.12927,0.59068,1.08214,0.00011332,0.00011332,0.00011332
95,3860.62,0.71782,0.35527,0.90115,0.79936,0.7479,0.78102,0.52827,1.12012,0.58003,1.07868,9.91726e-05,9.91726e-05,9.91726e-05
96,3900.59,0.72416,0.35779,0.89452,0.83682,0.75285,0.78882,0.53279,1.12505,0.58042,1.08116,8.50255e-05,8.50255e-05,8.50255e-05
97,3938.81,0.71699,0.35687,0.9027,0.83715,0.74751,0.78657,0.53064,1.12338,0.58268,1.08326,7.08784e-05,7.08784e-05,7.08784e-05
98,3976.66,0.7149,0.35516,0.89826,0.83033,0.76195,0.79218,0.54162,1.12525,0.57926,1.08153,5.67313e-05,5.67313e-05,5.67313e-05
99,4015.88,0.71324,0.35514,0.896,0.83155,0.75432,0.79264,0.54262,1.13114,0.5829,1.0821,4.25842e-05,4.25842e-05,4.25842e-05
100,4054.91,0.71176,0.34854,0.89498,0.83064,0.74467,0.79038,0.5349,1.12702,0.58148,1.08365,2.84371e-05,2.84371e-05,2.84371e-05
